CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
455;UCAC4 605-025884;;05 50 59.446;+30 58 51.03;Aur;DSCT;13.56;12.341;0.3;0.09;C;2455958.5973;0.107745;PC;2012;http://var2.astro.cz/czev.php?id=455
456;UCAC4 609-024544;;05 51 16.924;+31 44 58.15;Aur;EA;14.81;13.825;0.276;0.37;C;2455993.47;2.547523;PC;2012;http://var2.astro.cz/czev.php?id=456
457;UCAC4 608-026345;;05 52 57.228;+31 24 32.28;Aur;EA;14.74;13.542;0.376;0.08;C;2456221.476;3.28045;PC;2012;http://var2.astro.cz/czev.php?id=457
458;UCAC4 045-003340;;05 51 58.015;-81 08 33.56;Men;EW;12.74;11.693;0.374;0.6;V;2451869.6826;0.413521;MM;2012;http://var2.astro.cz/czev.php?id=458
459;UCAC4 044-002814;;05 00 11.632;-81 17 45.35;Men;DSCT;12.48;10.94;0.523;0.17;V;2456269.2605;0.14542;MM;2012;http://var2.astro.cz/czev.php?id=459
460;UCAC4 205-019311;;08 10 26.267;-49 01 58.64;Vel;EW;13.07;12.325;0.323;0.5;Rc;2456294.3469;0.528301;MM;2013;http://var2.astro.cz/czev.php?id=460
461;UCAC4 185-075373;;11 45 11.260;-53 06 58.13;Cen;EW;12;11.174;0.211;0.15;V;2455167.159;0.661937;MM;2013;http://var2.astro.cz/czev.php?id=461
462;UCAC4 798-014595;;05 29 35.815;+69 24 33.75;Cam;EW;13.49;11.869;0.504;0.2;C;2457383.4332;0.29648;LB, HK, MiM, JT, PeS;2013;http://var2.astro.cz/czev.php?id=462
463;UCAC4 606-024689;;05 50 02.426;+31 06 17.57;Aur;DSCT;15.23;13.752;0.45;0.1;C;2456570.4639;0.105875;PC;2013;http://var2.astro.cz/czev.php?id=463
464;UCAC4 607-024263;;05 50 11.601;+31 19 39.64;Aur;EA;;13.977;0.203;0.5;C;2457760.515;10.4775;PC;2013;http://var2.astro.cz/czev.php?id=464
465;UCAC4 606-025035;;05 51 14.059;+31 11 29.65;Aur;EA;16.07;14.068;0.61;0.5;C;2456670.34;2.2537;PC;2013;http://var2.astro.cz/czev.php?id=465
466;CzeV 363;;;;;;;;;;;2455957.999;0.127314;PC;2013;http://var2.astro.cz/czev.php?id=466
467;USNO-B1.0 1207-0106198;;05 53 11.194;+30 46 46.76;Aur;EW;;15.017;0.616;0.5;C;2456222.471;0.347267;PC;2013;http://var2.astro.cz/czev.php?id=467
468;UCAC4 422-073843;HD 163735;17 57 54.028;-05 41 10.21;Oph;EA;9.66;8.195;0.276;0.45;V;2452002.89;4.0502;MM;2013;http://var2.astro.cz/czev.php?id=468
469;UCAC4 185-073602;;11 36 43.835;-53 04 55.22;Cen;EW;15.06;14.229;0.249;;;2456469.3956;0.360763;MM;2013;http://var2.astro.cz/czev.php?id=469
470;UCAC4 185-073582;;11 36 38.085;-53 10 03.51;Cen;EW;15.66;13.864;0.448;;;;;MM;2013;http://var2.astro.cz/czev.php?id=470
471;UCAC4 184-072609;;11 36 37.467;-53 15 55.81;Cen;EW;14.99;13.455;0.503;;;;;MM;2013;http://var2.astro.cz/czev.php?id=471
472;UCAC4 514-077296;;18 30 54.464;+12 38 28.73;Her;DSCT:;11.93;10.634;0.366;0.11;C;2456519.29;0.227347;PC;2013;http://var2.astro.cz/czev.php?id=472
473;UCAC4 510-080989;;18 31 02.739;+11 53 58.37;Oph;DSCT;15.18;13.283;0.501;0.2;C;2456507.4038;0.223188;PC;2013;http://var2.astro.cz/czev.php?id=473
474;UCAC4 509-079477;;18 31 02.075;+11 42 10.45;Oph;EW;13.8;12.469;0.353;0.25;C;2457244.4671;0.526204;PC;2013;http://var2.astro.cz/czev.php?id=474
475;UCAC4 720-093070;CzeV475;22 24 34.757;+53 53 39.03;Lac;EW;11.82;10.524;0.359;0.35;V;2456512.3337;0.51622;LS;2013;http://var2.astro.cz/czev.php?id=475
476;UCAC4 510-080664;;18 30 04.806;+11 49 46.87;Oph;EA;16.37;14.55;0.541;0.4;C;2457248.478;2.7564;PC;2013;http://var2.astro.cz/czev.php?id=476
477;UCAC4 513-077847;;18 27 22.175;+12 33 09.88;Her;EA;;13.957;0.498;0.16;C;2456497.48;7.3256;PC;2013;http://var2.astro.cz/czev.php?id=477
478;USNO-B1.0 1018-0379927;;18 27 54.437;+11 48 23.81;Oph;EW;;14.999;0.56;0.15;C;2456522.9222;0.405861;PC;2013;http://var2.astro.cz/czev.php?id=478
479;UCAC4 755-031981;;04 06 19.663;+60 56 30.59;Cam;EW;15.31;12.819;0.474;0.4;C;2456518.6243;0.377358;LT, DeM;2013;http://var2.astro.cz/czev.php?id=479
480;UCAC4 720-092694;;22 23 24.547;+53 51 43.97;Lac;HADS;10.66;9.588;0.233;0.1;V;2456523.3567;0.10203;LS;2013;http://var2.astro.cz/czev.php?id=480
481;UCAC4 618-006577;CSS_J022048.7+332751;02 20 48.729;+33 27 52.01;Tri;EW;14.98;13.405;0.535;0.7;C;2456515.5296;0.29377;FL, KH, JJ;2011;http://var2.astro.cz/czev.php?id=481
482;UCAC4 767-060028;;21 30 08.140;+63 20 26.51;Cep;DSCT;11.32;9.869;0.331;0.1;Rc;2456519.38;0.135;KH, JJ;2013;http://var2.astro.cz/czev.php?id=482
483;UCAC4 765-061774;NSVS 3327838;21 28 34.445;+62 56 11.60;Cep;EW;14.51;11.901;0.456;0.61;Rc;;;KH, JJ;2013;http://var2.astro.cz/czev.php?id=483
484;UCAC4 613-086748;;19 44 20.856;+32 28 13.38;Cyg;EW:;15.92;14.732;0.488;0.52;Rc;;;KH, JJ;2013;http://var2.astro.cz/czev.php?id=484
485;UCAC4 519-116166;;19 56 35.239;+13 45 17.22;Aql;RR:;;14.745;0.405;0.6;C;2457626.375;0.648186;PC;2013;http://var2.astro.cz/czev.php?id=485
486;UCAC4 519-114720;;19 53 42.836;+13 45 47.42;Aql;DSCT;;14.653;0.155;0.3;C;;;PC;2013;http://var2.astro.cz/czev.php?id=486
487;UCAC4 739-086993;CzeV487;22 47 51.241;+57 37 32.00;Cep;DSCT;13.8;12.423;0.294;;;;;FB;2013;http://var2.astro.cz/czev.php?id=487
488;UCAC4 740-086501;CzeV488;22 46 54.226;+57 51 33.51;Cep;EW;;13.953;0.512;;;;;FB;2013;http://var2.astro.cz/czev.php?id=488
489;UCAC4 740-086480;CzeV489;22 46 49.206;+57 50 36.62;Cep;EW;;13.183;0.508;;;;;FB;2013;http://var2.astro.cz/czev.php?id=489
490;UCAC4 739-086618;;22 46 22.767;+57 38 34.24;Cep;EA:;15.42;13.375;0.592;;;;;FB;2013;http://var2.astro.cz/czev.php?id=490
491;UCAC4 739-086272;;22 45 05.835;+57 37 58.05;Cep;EA;14.25;12.799;0.614;;;;;FB;2013;http://var2.astro.cz/czev.php?id=491
492;UCAC4 740-085950;;22 44 38.004;+57 50 53.01;Cep;EW;;13.969;0.522;;;;;FB;2013;http://var2.astro.cz/czev.php?id=492
493;UCAC4 740-086015;;22 44 50.845;+57 51 47.13;Cep;DSCT;13.57;12.45;0.212;;;;;FB;2013;http://var2.astro.cz/czev.php?id=493
494;UCAC4 739-086295;;22 45 10.177;+57 47 24.36;Cep;EW:;;13.411;0.454;;;;;FB;2013;http://var2.astro.cz/czev.php?id=494
495;USNO-B1.0 1477-0507621;;22 45 17.598;+57 42 45.28;Cep;EW:;;15.538;0.754;;;;;FB;2013;http://var2.astro.cz/czev.php?id=495
496;USNO-B1.0 1479-0482885;;22 43 36.200;+57 58 07.47;Cep;EA:;;14.832;0.621;;;;;FB;2013;http://var2.astro.cz/czev.php?id=496
497;USNO-B1.0 1476-0507636;;22 46 10.595;+57 40 36.90;Cep;DSCT:;;14.766;0.489;;;;;FB;2013;http://var2.astro.cz/czev.php?id=497
498;USNO-B1.0 1476-0506578;;22 45 13.661;+57 41 40.57;Cep;DSCT:;;15.033;0.738;;;;;FB;2013;http://var2.astro.cz/czev.php?id=498
499;UCAC4 352-151242;GSC 06288-02082;18 46 40.591;-19 46 49.88;Sgr;SRB;13.47;8.213;1.304;1.2;V;2456529;81.45;MM;2013;http://var2.astro.cz/czev.php?id=499
500;UCAC4 352-150366;CzeV500;18 45 41.688;-19 40 08.88;Sgr;M;13.66;9.69;1.369;;;2456535;170.5;MM;2013;http://var2.astro.cz/czev.php?id=500
501;USNO-B1.0 0702-0669934;;18 46 08.724;-19 45 50.20;Sgr;;;14.469;0.72;1;Rc;;;MM;2013;http://var2.astro.cz/czev.php?id=501
502;UCAC4 519-052095;;11 18 20.312;+13 47 39.00;Leo;UV;13.08;9.087;0.829;1.5;Rc;;;JL;2012;http://var2.astro.cz/czev.php?id=502
503;UCAC4 512-074119;CzeV503;18 26 03.687;+12 23 27.05;Her;PULS|ELL;14.74;9.056;1.342;;;2451308.9;60.58;JL;2013;http://var2.astro.cz/czev.php?id=503
504;UCAC4 380-107174;GDS_J1824241-140004;18 23 55.813;-14 00 05.87;Sct;EA;12.99;11.842;0.336;0.65;V;2456562.5494;0.910535;MM, JJ, KH;2013;http://var2.astro.cz/czev.php?id=504
505;UCAC4 258-029010;HD 70999;08 23 37.377;-38 27 02.51;Pup;EA;9.08;8.233;-0.082;0.18;V;2456585.9043;2.9925;MM, JJ, KH;2013;http://var2.astro.cz/czev.php?id=505
506;UCAC4 370-003476;GSC 05865-01049;03 04 26.959;-16 09 44.06;Eri;EA;12.49;10.609;0.74;0.5;V;2456625.62;7.2326;MM, JJ, KH;2013;http://var2.astro.cz/czev.php?id=506
507;UCAC4 255-027890;GSC 07661-03731;08 26 55.602;-39 02 36.24;Pup;EA;13.17;12.489;0.351;1.05;V;2456650.6645;0.746804;MM, JJ, KH;2013;http://var2.astro.cz/czev.php?id=507
508;UCAC4 494-036438;;07 00 22.896;+08 45 53.97;Mon;HADS;13.52;12.794;0.123;;;2456654.5195;0.079845;LS;2013;http://var2.astro.cz/czev.php?id=508
509;UCAC4 702-067000;;19 39 42.430;+50 18 01.11;Cyg;EA;14.11;13.063;0.301;0.8;C;2456463.451;2.1907;JL;2013;http://var2.astro.cz/czev.php?id=509
510;UCAC4 702-067165;;19 40 50.896;+50 21 40.21;Cyg;EA;15.19;14.38;0.203;0.6;C;2456056.4407;3.14748;JL;2013;http://var2.astro.cz/czev.php?id=510
511;UCAC4 144-083547;GSC 08972-01609;11 36 21.706;-61 22 58.23;Cen;EA;11.31;10.262;0.262;0.23;V;2456680.726;3.119413;MM, JJ, KH;2014;http://var2.astro.cz/czev.php?id=511
512;UCAC4 608-024675;;05 47 31.866;+31 32 14.76;Aur;DSCT;15.05;13.248;0.639;0.25;C;2457067.29;0.516482;PC;2014;http://var2.astro.cz/czev.php?id=512
513;UCAC4 604-024573;;05 47 24.032;+30 45 22.51;Aur;EA;;11.927;0.247;0.45;C;2456693.3941;0.750065;PC;2014;http://var2.astro.cz/czev.php?id=513
514;UCAC4 609-023923;;05 49 17.147;+31 37 28.67;Aur;EA;;14.709;0.78;0.4;C;2456692.2782;0.72339;PC;2014;http://var2.astro.cz/czev.php?id=514
515;UCAC4 608-025175;;05 49 20.706;+31 35 15.38;Aur;EA;14.75;13.326;0.388;0.17;C;2456693.3633;1.804427;PC;2014;http://var2.astro.cz/czev.php?id=515
516;UCAC4 609-024330;;05 50 32.044;+31 47 32.15;Aur;DSCT;13.4;12.215;0.3;0.03;C;2455970.4816;0.114214;PC;2014;http://var2.astro.cz/czev.php?id=516
517;UCAC4 606-025351;;05 52 10.788;+31 04 47.07;Aur;EA;;14.22;0.286;0.9;C;;;PC;2014;http://var2.astro.cz/czev.php?id=517
518;UCAC4 436-021671;GDS_J0647300-025019;06 47 29.989;-02 50 19.96;Mon;;14.36;12.449;0.727;0.1;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=518
519;UCAC4 435-021696;GDS_J0647193-030759;06 47 19.330;-03 07 59.07;Mon;;14.25;13.005;0.299;;;;;FL;2014;http://var2.astro.cz/czev.php?id=519
520;USNO-B1.0 0871-0148042;;06 47 43.328;-02 49 57.17;Mon;;;14.374;0.794;0.34;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=520
521;UCAC4 435-021716;GDS_J0647241-030847;06 47 24.121;-03 08 47.33;Mon;;;12.342;0.605;0.17;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=521
522;UCAC4 579-061033;;18 14 15.618;+25 46 58.57;Her;;;11.76;0.64;0.25;Rc;2453139.676;1.514919;FL;2014;http://var2.astro.cz/czev.php?id=522
523;CzeV 187;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=523
524;UCAC4 608-094272;;19 49 28.559;+31 33 23.78;Cyg;;13.67;12.282;0.261;;;;;FL;2014;http://var2.astro.cz/czev.php?id=524
525;UCAC4 642-078332;;19 52 35.188;+38 12 07.54;Cyg;;;13.199;0.332;;;;;FL;2014;http://var2.astro.cz/czev.php?id=525
526;UCAC4 456-000318;;00 15 31.774;+01 01 18.69;Psc;;12.24;11.215;0.393;0.16;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=526
527;CzeV 220;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=527
528;CzeV 224;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=528
529;CzeV 221;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=529
530;CzeV 225;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=530
531;CzeV 239;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=531
532;CzeV 237;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=532
533;CzeV 236;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=533
534;UCAC4 511-035288;;07 05 52.634;+12 00 22.66;CMi;;15.83;14.89;0.328;;;;;FL;2014;http://var2.astro.cz/czev.php?id=534
535;CzeV 250;;;;;;;;;;;;;FL;2014;http://var2.astro.cz/czev.php?id=535
536;USNO-B1.0-1263-0281138;CSS_J181541.4+362154;18 15 41.409;+36 21 54.48 ;Lyr;;;15.387;0.386;;;;;FL;2014;http://var2.astro.cz/czev.php?id=536
537;UCAC4 631-059685;CSS_J181603.6+360835;18 16 03.654;+36 08 35.52;Lyr;;;14.348;0.505;0.25;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=537
538;UCAC4 639-006899;;01 56 03.423;+37 41 48.43;And;RR:;15.09;14.415;0.275;0.47;C;2453978.55;0.8997;FL;2014;http://var2.astro.cz/czev.php?id=538
539;UCAC4 392-000285;;00 14 09.375;-11 43 53.64;Cet;;15.16;12.085;0.776;0.3;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=539
540;UCAC4 617-006357;CSS_J021749.2+331202;02 17 49.196;+33 12 02.19;Tri;;15.03;13.563;0.483;0.1;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=540
541;UCAC4 617-006315;;02 17 03.816;+33 21 12.61;Tri;;15.28;13.579;0.597;0.16;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=541
542;UCAC4 614-004333;;01 33 35.082;+32 47 10.37;Tri;;15.01;14.725;0.225;0.5;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=542
543;UCAC4 615-004333;;01 33 39.643;+32 57 27.58;Tri;EW;15.27;13.987;0.386;0.28;Rc;2455879.2856;0.300423;FL;2014;http://var2.astro.cz/czev.php?id=543
544;UCAC4 542-038859;;07 13 24.424;+18 23 02.05;Gem;;17.69;15.071;0.625;;;;;FL;2014;http://var2.astro.cz/czev.php?id=544
545;UCAC4 542-038535;;07 11 20.972;+18 21 36.36;Gem;;16.03;14.53;0.463;0.42;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=545
546;UCAC4 597-031738;;06 29 37.406;+29 12 34.67;Aur;;11.63;10.734;0.363;0.25;Rc;2454070.6947;0.418517;FL;2014;http://var2.astro.cz/czev.php?id=546
547;UCAC4 598-032685;GSC 01891-00064;06 28 00.423;+29 34 32.02;Aur;;13.81;12.553;0.479;;;;;FL;2014;http://var2.astro.cz/czev.php?id=547
548;UCAC4 562-035431;;06 51 02.633;+22 21 07.00;Gem;;15.53;14.412;0.417;;;;;FL;2014;http://var2.astro.cz/czev.php?id=548
549;UCAC4 573-040201;CSS_J072649.5+243526;07 26 49.534;+24 35 26.32;Gem;;15.47;14.116;0.483;0.51;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=549
550;USNO-B1.0 1018-0131799;;07 07 42.601;+11 50 27.22;CMi;;16.85R1;;;1;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=550
551;UCAC4 510-036820;;07 08 19.635;+11 52 20.17;CMi;;16.08;14.562;0.656;0.4;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=551
552;UCAC4 509-035787;;07 08 26.206;+11 40 21.71;CMi;;16.02;15.417;0.402;0.7;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=552
553;USNO-B1.0 1019-0137360;;07 07 04.60;+11 55 33.53;CMi;;;15.778;0.72;;;;;FL;2014;http://var2.astro.cz/czev.php?id=553
554;UCAC4 508-037335;;07 07 03.512;+11 32 06.81;CMi;;15.02;14.522;0.135;0.4;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=554
555;UCAC4 511-036062;;07 08 35.777;+12 08 02.34;CMi;;;14.467;0.512;0.4;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=555
556;UCAC4 511-036079;;07 08 40.606;+12 04 37.84;CMi;;16.21;14.608;0.413;0.08;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=556
557;USNO-B1.0 0225-0324190;CSS_J134933.2-072955;13 49 33.329;-07 29 55.97;Gem;;;15.855;0.531;0.2;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=557
558;USNO-B1.0 0802-0212448;CSS_J102031.8-094348;10 20 31.882;-09 43 48.80;Sex;;;15.886;0.417;0.7;Rc;;0.569073;FL;2014;http://var2.astro.cz/czev.php?id=558
559;UCAC4 402-049466;CSS_J102120.2-094738;10 21 20.249;-09 47 38.71;Sex;;16.5;14.916;0.574;0.5;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=559
560;UCAC4 674-055810;;12 35 45.222;+44 41 03.81;CVn;;16.58;15.414;0.634;;;;;FL;2014;http://var2.astro.cz/czev.php?id=560
561;UCAC4 634-039571;CSS_J071842.1+363839;07 18 42.102;+36 38 41.06;Aur;;;14.066;0.832;0.4;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=561
562;UCAC4 432-058847;;14 31 27.086;-03 39 10.11;Vir;;13.75;12.112;0.495;;;;;FL;2014;http://var2.astro.cz/czev.php?id=562
563;UCAC4 416-058319;CSS_J135019.6-065705;13 50 19.689;-06 57 05.31;Vir;;;14.03;0.918;0.5;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=563
564;UCAC4 679-075915;;20 00 22.786;+45 43 22.56;Cyg;;14.32;12.66;0.328;0.1;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=564
565;UCAC4 680-076565;;19 59 47.814;+45 56 24.64;Cyg;;16.08;14.145;0.53;0.2;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=565
566;UCAC4 532-126399;;20 23 38.486;+16 20 40.58;Del;;14.68;13.217;0.481;;;;;FL;2014;http://var2.astro.cz/czev.php?id=566
567;UCAC4 532-127257;VESPA_V39;20 26 26.076;+16 13 29.54;Del;;;13.117;0.243;0.5;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=567
568;UCAC4 612-006579;CSS_J022024.8+322129;02 20 24.824;+32 21 29.59;Tri;;15.98;13.888;0.645;0.3;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=568
569;UCAC4 611-006950;CSS_J022149.0+320455;02 21 49.045;+32 04 54.91;Tri;;15.93;14.68;0.387;0.3;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=569
570;UCAC4 774-043627;;20 25 28.337;+64 43 03.48;Dra;;;14.907;0.487;0.4;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=570
571;UCAC4 775-042163;;20 18 42.256;+64 58 06.33;Dra;;;14.878;0.285;0.2;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=571
572;USNO-B1.0 1545-0230539;;20 17 40.053;+64 34 51.31;Dra;;;15.179;0.7;;;;;FL;2014;http://var2.astro.cz/czev.php?id=572
573;UCAC4 777-039064;;20 20 28.432;+65 16 41.49;Dra;;;14.262;0.79;0.5;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=573
574;UCAC4 775-042519;;20 24 28.828;+64 52 55.57;Dra;;;12.93;0.41;0.2;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=574
575;UCAC4 776-041202;;20 21 07.805;+65 11 18.55;Dra;;;13.472;0.438;;;;;FL;2014;http://var2.astro.cz/czev.php?id=575
576;UCAC4 603-008988;CSS_J031031.6+302746;03 10 31.721;+30 27 46.39;Ari;;15.97;14.455;0.369;0.2;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=576
577;UCAC4 352-061247;CSS_J111610.6-193640;11 16 10.656;-19 36 41.17;Crt;EW;13.21;11.812;0.385;0.3;Rc;;1.14716;FL;2014;http://var2.astro.cz/czev.php?id=577
578;UCAC4 644-043505;CSS_J074608.2+384601;07 46 08.283;+38 46 01.51;Lyn;;16.03;14.604;0.429;2.02;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=578
579;UCAC4 644-043574;CSS_J074732.0+384636;07 47 32.052;+38 46 36.57;Lyn;;;15.017;0.605;0.34;Rc;;;FL;2014;http://var2.astro.cz/czev.php?id=579
580;UCAC4 644-043555;CSS_J074706.9+384126;07 47 06.909;+38 41 26.68;Lyn;;13.63;12.85;0.266;;;;;FL;2014;http://var2.astro.cz/czev.php?id=580
581;UCAC4 606-023651;;05 46 27.210;+31 11 09.91;Aur;DSCT;15.35;13.631;0.418;0.35;C;2457036.45;0.088142;PC;2014;http://var2.astro.cz/czev.php?id=581
582;UCAC4 606-023687;;05 46 34.526;+31 04 40.14;Aur;EA;15.85;14.436;0.429;0.27;C;2457067.2946;3.5657;PC;2014;http://var2.astro.cz/czev.php?id=582
583;UCAC4 605-024884;;05 47 19.424;+30 53 19.37;Aur;DSCT;14.83;13.086;0.418;0.1;C;2457069.375;0.095156;PC;2014;http://var2.astro.cz/czev.php?id=583
584;UCAC4 605-024373;;05 44 58.657;+30 56 14.65;Aur;EA;15.49;13.627;0.412;0.71;C;2457036.2214;1.315835;PC;2014;http://var2.astro.cz/czev.php?id=584
585;UCAC4 605-024506;;05 45 37.936;+30 51 22.27;Aur;EB;;14.454;0.542;0.4;C;2456712.324;0.685335;PC;2014;http://var2.astro.cz/czev.php?id=585
586;UCAC4 607-023873;;05 48 51.176;+31 21 28.54;Aur;EA;;14.436;0.66;0.45;C;2457066.37;3.725079;PC;2014;http://var2.astro.cz/czev.php?id=586
587;UCAC4 604-024851;;05 48 35.571;+30 39 02.88;Aur;EA;;14.356;0.151;0.14;C;2456712.3346;1.396652;PC;2014;http://var2.astro.cz/czev.php?id=587
588;UCAC4 606-023921;;05 47 25.325;+31 08 25.05;Aur;EA;15.01;13.483;0.437;0.3;C;;;PC;2014;http://var2.astro.cz/czev.php?id=588
589;UCAC4 603-025982;;05 48 53.879;+30 34 07.38;Aur;EA;14.82;12.939;0.599;0.55;C;2457036.3946;5.03561;PC;2014;http://var2.astro.cz/czev.php?id=589
590;UCAC4 797-009495;;03 35 37.186;+69 16 39.04;Cas;EW;15.34;12.929;0.609;0.4;Rc;2456730.2652;0.330791;LS;2014;http://var2.astro.cz/czev.php?id=590
591;UCAC4 137-078690;HD 106426;12 14 44.769;-62 45 29.01;Cru;DSCT:;9.46;8.297;0.242;0.08;B;2456736.5655;0.11447;MM, JJ, KH;2014;http://var2.astro.cz/czev.php?id=591
592;UCAC4 180-102987;HD 113822;13 07 04.980;-54 03 47.62;Cen;EA;9.65;9.279;-0.006;0.16;V;2456674.715;4.16087;MM;2014;http://var2.astro.cz/czev.php?id=592
593;UCAC4 140-077760;GSC 08977-08681;11 51 53.613;-62 05 21.08;Cen;EA;10.91;10.636;0.075;0.43;V;2456766.64;5.246;MM, JJ, KH;2014;http://var2.astro.cz/czev.php?id=593
594;UCAC4 178-105380;CzeV594;13 08 02.818;-54 34 53.19;Cen;EA;12.89;11.554;0.323;0.6;V;2456736.86;3.51127;MM, JJ, KH;2014;http://var2.astro.cz/czev.php?id=594
595;UCAC4 660-045195;;06 34 30.614;+41 55 58.26;Aur;EA;;14.76;0.754;1.03;C;;;FB;2014;http://var2.astro.cz/czev.php?id=595
596;UCAC4 660-045264;;06 35 07.252;+41 58 17.73;Aur;DSCT;14.76;13.773;0.27;0.06;C;;;FB;2014;http://var2.astro.cz/czev.php?id=596
597;UCAC4 660-045350;;06 35 58.072;+41 58 40.42;Aur;DSCT;15.73;13.85;0.755;0.1;C;;;FB;2014;http://var2.astro.cz/czev.php?id=597
598;UCAC4 661-046893;;06 36 22.747;+42 07 15.72;Aur;DSCT;14.95;13.409;0.473;0.06;C;;;FB;2014;http://var2.astro.cz/czev.php?id=598
599;UCAC4 661-046980;;06 37 09.380;+42 00 18.02;Aur;DSCT;15.37;14.292;0.342;0.07;C;;;FB;2014;http://var2.astro.cz/czev.php?id=599
600;UCAC4 662-046290;;06 35 00.013;+42 14 41.96;Aur;EW;16.44;15.312;0.514;0.68;C;;;FB;2014;http://var2.astro.cz/czev.php?id=600
601;UCAC4 662-046373;;06 35 48.343;+42 17 14.18;Aur;EW:;14.69;13.188;0.629;0.11;C;;;FB;2014;http://var2.astro.cz/czev.php?id=601
602;UCAC4 662-046512;CSS_J063714.5+421305;06 37 14.449;+42 13 07.17;Aur;EW:;16.04;14.719;0.457;0.15;C;;;FB;2014;http://var2.astro.cz/czev.php?id=602
603;UCAC4 184-072500;CzeV603;11 36 09.964;-53 12 15.02;Cen;ELL;13.12;12.261;0.247;0.15;V;2456464.551;0.631174;MM, PP;2013;http://var2.astro.cz/czev.php?id=603
604;UCAC4 512-074875;;18 28 29.714;+12 15 16.25;Her;EA;15.32;13.355;0.589;0.45;C;2455835.3;11.485342;PC;2014;http://var2.astro.cz/czev.php?id=604
605;USNO-B1.0 1022-0403274;;18 29 26.219;+12 13 28.70;Her;EA;;14.586;0.733;1.1;C;;;PC;2014;http://var2.astro.cz/czev.php?id=605
606;UCAC4 515-077460;;18 30 46.366;+12 50 12.06;Her;EA:;13.95;12.449;0.422;0.3;C;;;PC;2014;http://var2.astro.cz/czev.php?id=606
607;UCAC4 511-077572;;18 30 55.767;+12 03 14.93;Oph;EA:;13.31;10.94;0.767;0.45;C;2455843.2;5.548558;PC;2014;http://var2.astro.cz/czev.php?id=607
608;UCAC4 515-077540;;18 31 04.174;+12 49 41.65;Her;RR;14.9;12.388;0.798;0.3;C;2456797.495;0.37402;PC;2014;http://var2.astro.cz/czev.php?id=608
609;UCAC4 604-024570;;05 47 23.197;+30 45 18.21;Aur;EA;;11.443;0.162;0.41;C;;;PC;2014;http://var2.astro.cz/czev.php?id=609
610;UCAC4 605-024383;;05 45 02.042;+30 56 43.42;Aur;EW;;13.692;0.497;0.55;C;2456726.3835;0.543367;PC;2014;http://var2.astro.cz/czev.php?id=610
611;UCAC4 605-024461;;05 45 26.429;+30 50 38.02;Aur;EA;14.4;12.76;0.402;0.16;C;2457752.3;4.490837;PC;2014;http://var2.astro.cz/czev.php?id=611
612;UCAC4 606-023924;;05 47 25.946;+31 09 27.48;Aur;EA;14.79;13.666;0.29;0.28;C;2457069.437;11.759;PC;2014;http://var2.astro.cz/czev.php?id=612
